year,total_days,fishable_days,unfishable_days,pct_fishable,mean_wind_ms,mean_wave_m,active_fishing_days,fishable_active_days
1985,365,175,190,47.95,8.37871077238685,1.4026193570958905,11,8
1986,365,189,176,51.78,8.209938748590176,1.38435056,25,9
1987,365,217,148,59.45,7.966806488296078,1.337351069369863,71,47
1988,366,161,205,43.99,8.540703274497039,1.4870914468032788,47,23
1989,365,192,173,52.6,8.358651115493984,1.426431412520548,2,1
1990,365,174,191,47.67,8.393137057994014,1.4381883813150687,89,57
1991,365,175,190,47.95,8.45702930076203,1.4607626347671232,205,108
1992,366,206,160,56.28,7.966727068593695,1.4479690156010931,120,68
1993,365,207,158,56.71,8.077101218008568,1.4427341968767124,214,132
1994,365,193,172,52.88,8.212212140667749,1.450660684410959,175,93
1995,365,253,112,69.32,7.695674157486613,1.405974936410959,166,109
1996,366,192,174,52.46,8.383011323612513,1.5378429172131147,201,109
1997,365,190,175,52.05,8.382273966003288,1.4584536732602742,251,135
1998,365,187,178,51.23,8.385344289268435,1.512377568109589,271,146
1999,365,227,138,62.19,8.088638417273692,1.4714681589315068,298,192
2000,366,185,181,50.55,8.306766758464502,1.4894925425956285,343,174
2001,365,210,155,57.53,8.071573398684198,1.4274032604383562,356,205
2002,365,208,157,56.99,8.196840669348225,1.4374310211780823,363,207
2003,365,220,145,60.27,7.847459990955405,1.4046245407671232,359,218
2004,366,200,166,54.64,8.16643391752204,1.4444297313114753,362,196
2005,365,256,109,70.14,7.572695800935036,1.3398901481369863,359,252
2006,365,231,134,63.29,7.885105259152473,1.4063488100547945,363,229
2007,365,246,119,67.4,7.7981328032625905,1.3581925359452054,361,245
2008,366,199,167,54.37,8.245857879434286,1.478544551612022,339,188
2009,365,209,156,57.26,8.053282009492973,1.4490046809589041,327,182
2010,365,224,141,61.37,7.788297797766391,1.4140632968767122,332,203
2011,365,219,146,60.0,7.86804006809269,1.4130329771232877,313,188
2012,366,223,143,60.93,7.945315344007169,1.4023812080054645,310,187
2013,365,182,183,49.86,8.323493253115391,1.4850634510958904,270,137
2014,365,219,146,60.0,8.01782809574939,1.4161179099178083,181,104
2015,365,204,161,55.89,8.091917081038535,1.441943122,193,121
2016,366,238,128,65.03,7.798297515694578,1.4206089357103826,138,98
2017,365,222,143,60.82,8.099177350478653,1.4945365979999998,109,69
2018,365,176,189,48.22,8.393065086285715,1.566983512520548,36,18
2019,365,230,135,63.01,7.750874735645175,1.3822635422739726,35,28
2020,366,219,147,59.84,7.93152143793362,1.4256473182513663,45,30
2021,365,172,193,47.12,8.388024813767887,1.4559101272328767,153,72
2022,365,187,178,51.23,8.345444910784037,1.4850848201369862,96,50
2023,365,214,151,58.63,7.832935850931729,1.410503654,186,109
2024,363,247,116,68.04,7.617994769377015,1.3336705370798898,109,68
