observation_date,POPTOTVIA647NWDB
1985-01-01,100760
1986-01-01,100842
1987-01-01,100901
1988-01-01,100952
1989-01-01,101041
1990-01-01,103963
1991-01-01,104807
1992-01-01,105712
1993-01-01,106578
1994-01-01,107318
1995-01-01,107818
1996-01-01,108095
1997-01-01,108357
1998-01-01,108537
1999-01-01,108599
2000-01-01,108642
2001-01-01,108549
2002-01-01,108509
2003-01-01,108505
2004-01-01,108466
2005-01-01,108453
2006-01-01,108369
2007-01-01,108337
2008-01-01,108397
2009-01-01,108404
2010-01-01,108357
2011-01-01,108290
2012-01-01,108188
2013-01-01,108041
2014-01-01,107882
2015-01-01,107712
2016-01-01,107516
2017-01-01,107281
2018-01-01,107001
2019-01-01,106669
2020-01-01,106290
2021-01-01,105870
2022-01-01,105413
2023-01-01,104917
2024-01-01,104377
